municipio,tipo de crimen,año,trimestre,num_trimestre,valor,tipo_dato,modelo,nivel_confianza
Alcobendas,Delitos contra la libertad sexual,2025,Q4,4,14.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2023,Q1,1,7.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2023,Q2,2,13.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2023,Q3,3,11.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2023,Q4,4,10.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2024,Q1,1,8.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2024,Q2,2,7.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2024,Q3,3,11.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2024,Q4,4,8.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2025,Q1,1,4.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2025,Q2,2,10.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2025,Q3,3,17.0,Real,Dato observado,Real
Alcobendas,Delitos graves y menos graves de lesiones y riña tumultuaria,2025,Q4,4,9.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2023,Q1,1,272.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2023,Q2,2,252.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2023,Q3,3,264.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2023,Q4,4,282.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2024,Q1,1,306.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2024,Q2,2,265.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2024,Q3,3,283.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2024,Q4,4,335.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2025,Q1,1,346.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2025,Q2,2,281.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2025,Q3,3,236.0,Real,Dato observado,Real
Alcobendas,Estafas informáticas,2025,Q4,4,209.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2023,Q1,1,1.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2023,Q2,2,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2023,Q3,3,1.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2023,Q4,4,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2024,Q1,1,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2024,Q2,2,1.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2024,Q3,3,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2024,Q4,4,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2025,Q1,1,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2025,Q2,2,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2025,Q3,3,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos consumados,2025,Q4,4,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2023,Q1,1,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2023,Q2,2,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2023,Q3,3,1.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2023,Q4,4,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2024,Q1,1,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2024,Q2,2,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2024,Q3,3,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2024,Q4,4,1.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2025,Q1,1,1.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2025,Q2,2,0.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2025,Q3,3,1.0,Real,Dato observado,Real
Alcobendas,Homicidios dolosos y asesinatos en grado tentativa,2025,Q4,4,2.0,Real,Dato observado,Real
Alcobendas,Hurtos,2023,Q1,1,274.0,Real,Dato observado,Real
Alcobendas,Hurtos,2023,Q2,2,309.0,Real,Dato observado,Real
Alcobendas,Hurtos,2023,Q3,3,301.0,Real,Dato observado,Real
Alcobendas,Hurtos,2023,Q4,4,287.0,Real,Dato observado,Real
Alcobendas,Hurtos,2024,Q1,1,250.0,Real,Dato observado,Real
Alcobendas,Hurtos,2024,Q2,2,314.0,Real,Dato observado,Real
Alcobendas,Hurtos,2024,Q3,3,309.0,Real,Dato observado,Real
Alcobendas,Hurtos,2024,Q4,4,327.0,Real,Dato observado,Real
Alcobendas,Hurtos,2025,Q1,1,309.0,Real,Dato observado,Real
Alcobendas,Hurtos,2025,Q2,2,271.0,Real,Dato observado,Real
Alcobendas,Hurtos,2025,Q3,3,269.0,Real,Dato observado,Real
Alcobendas,Hurtos,2025,Q4,4,341.0,Real,Dato observado,Real
Alcobendas,Otros ciberdelitos,2023,Q1,1,22.0,Real,Dato observado,Real
Alcobendas,Otros ciberdelitos,2023,Q2,2,21.0,Real,Dato observado,Real
Alcobendas,Otros ciberdelitos,2023,Q3,3,32.0,Real,Dato observado,Real
Alcobendas,Otros ciberdelitos,2023,Q4,4,42.0,Real,Dato observado,Real
Alcobendas,Otros ciberdelitos,2024,Q1,1,32.0,Real,Dato observado,Real
Alcobendas,Otros ciberdelitos,2024,Q2,2,37.0,Real,Dato observado,Real
Alcobendas,Otros ciberdelitos,2024,Q3,3,20.0,Real,Dato observado,Real
