municipio,tipo de crimen,año,trimestre,num_trimestre,conteo_predicho,modelo,nivel_confianza
Alcobendas,Resto de delitos contra la libertad sexual,2026,Q3,3,10.09305809841471,Gradient Boosting,Estándar
Alcobendas,Robos con fuerza en domicilios,2026,Q1,1,19.66221436041744,Gradient Boosting,Estándar
Alcobendas,Robos con fuerza en domicilios,2026,Q2,2,16.84773945306936,Gradient Boosting,Estándar
Alcobendas,Robos con fuerza en domicilios,2026,Q3,3,18.146506835261736,Gradient Boosting,Estándar
Alcobendas,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q1,1,35.84937219689909,Gradient Boosting,Estándar
Alcobendas,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q2,2,32.879079920943084,Gradient Boosting,Estándar
Alcobendas,"Robos con fuerza en domicilios, establecimientos y otras instalaciones",2026,Q3,3,35.88937520817252,Gradient Boosting,Estándar
Alcobendas,Robos con violencia e intimidación,2026,Q1,1,16.84773945306936,Gradient Boosting,Estándar
Alcobendas,Robos con violencia e intimidación,2026,Q2,2,16.84773945306936,Gradient Boosting,Estándar
Alcobendas,Robos con violencia e intimidación,2026,Q3,3,19.171587853256305,Gradient Boosting,Estándar
Alcobendas,Secuestro,2026,Q1,1,0.0,Mediana móvil 4,Alta incertidumbre
Alcobendas,Secuestro,2026,Q2,2,0.0,Mediana móvil 4,Alta incertidumbre
Alcobendas,Secuestro,2026,Q3,3,0.0,Mediana móvil 4,Alta incertidumbre
Alcobendas,Sustracciones de vehículos,2026,Q1,1,41.33809433856602,Gradient Boosting,Estándar
Alcobendas,Sustracciones de vehículos,2026,Q2,2,35.491699094219925,Gradient Boosting,Estándar
Alcobendas,Sustracciones de vehículos,2026,Q3,3,37.98330853096722,Gradient Boosting,Estándar
Alcobendas,Tráfico de drogas,2026,Q1,1,13.229802473691388,Gradient Boosting,Estándar
Alcobendas,Tráfico de drogas,2026,Q2,2,12.687036841544233,Gradient Boosting,Estándar
Alcobendas,Tráfico de drogas,2026,Q3,3,10.872504657027376,Gradient Boosting,Estándar
Alcorcón,Agresión sexual con penetración,2026,Q1,1,2.681452735094849,Gradient Boosting,Estándar
Alcorcón,Agresión sexual con penetración,2026,Q2,2,2.681452735094849,Gradient Boosting,Estándar
Alcorcón,Agresión sexual con penetración,2026,Q3,3,2.9066627368585305,Gradient Boosting,Estándar
Alcorcón,Delitos contra la libertad sexual,2026,Q1,1,12.086836666788727,Gradient Boosting,Estándar
Alcorcón,Delitos contra la libertad sexual,2026,Q2,2,11.173423091517606,Gradient Boosting,Estándar
Alcorcón,Delitos contra la libertad sexual,2026,Q3,3,12.579679117983876,Gradient Boosting,Estándar
Alcorcón,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q1,1,16.19761609736185,Gradient Boosting,Estándar
Alcorcón,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q2,2,18.521464497548795,Gradient Boosting,Estándar
Alcorcón,Delitos graves y menos graves de lesiones y riña tumultuaria,2026,Q3,3,15.049806900049228,Gradient Boosting,Estándar
Alcorcón,Estafas informáticas,2026,Q1,1,205.66821312235166,Gradient Boosting,Estándar
Alcorcón,Estafas informáticas,2026,Q2,2,205.61497530008867,Gradient Boosting,Estándar
Alcorcón,Estafas informáticas,2026,Q3,3,210.7400592769996,Gradient Boosting,Estándar
